STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
        917;19950801;19950831;   10;  4.35;  18.51;   25.62;   13.33;    0.84;  33.8;-999;   5.8;-999;    9;    45.4;    9.9;eor
        917;19950901;19950930;   10;  6.24;  13.27;   17.89;    9.61;    1.04;  22.8;-999;   3.0;-999;    9;   106.2;   24.3;eor
        917;19951001;19951031;   10;  5.77;  12.24;   16.83;    8.39;    0.76;  24.0;-999;  -1.5;-999;    9;    46.3;   16.0;eor
        917;19951101;19951130;   10;  6.06;   3.78;    6.92;    0.87;    1.18;  12.8;-999;  -7.0;-999;    9;    45.4;    9.7;eor
        917;19951201;19951231;   10;  6.73;   0.32;    2.51;   -1.79;    1.47;  12.0;-999; -11.8;-999;    9;    59.0;   16.3;eor
        917;19960101;19960131;   10;  6.60;  -0.70;    1.62;   -2.64;    1.55;   9.4;-999;  -7.9;-999;    9;     3.6;    1.2;eor
        917;19960201;19960229;   10;  6.30;   0.19;    3.72;   -2.97;    1.29;  14.5;-999; -12.8;-999;    9;    53.3;   10.8;eor
        917;19960301;19960331;   10;  4.85;   3.34;    8.24;   -0.37;    1.34;  15.5;-999;  -7.0;-999;    9;    19.7;    4.9;eor
        917;19960401;19960430;   10;  4.49;   9.42;   16.63;    2.75;    1.28;  27.9;-999;  -3.1;-999;    9;    16.4;    5.3;eor
        917;19960501;19960531;   10;  6.29;  12.54;   17.21;    7.69;    1.66;  30.1;-999;  -0.8;-999;    9;    82.1;   11.5;eor
        917;19960601;19960630;   10;  4.53;  17.22;   22.90;   11.14;    1.04;  33.0;-999;   5.0;-999;    9;    42.7;   11.1;eor
        917;19960701;19960731;   10;  4.60;  17.29;   23.41;   11.20;    1.15;  28.8;-999;   6.8;-999;    9;    90.5;   26.6;eor
        917;19960801;19960831;   10;  4.90;  17.68;   24.02;   12.69;    1.08;  30.3;-999;   9.0;-999;    9;    69.4;   13.2;eor
        917;19960901;19960930;   10;  5.45;  12.05;   17.22;    7.16;    0.95;  25.0;-999;   1.8;-999;    9;    33.1;    7.2;eor
        917;19961001;19961031;   10;  6.08;   9.59;   14.52;    5.54;    1.05;  20.0;-999;  -1.0;-999;    9;    83.9;   16.1;eor
        917;19961101;19961130;   10;  6.99;   5.84;    7.95;    3.72;    1.40;  15.4;-999;  -3.8;-999;    9;    99.8;   26.0;eor
        917;19961201;19961231;   10;  6.31;  -0.99;    1.47;   -3.64;    1.09;  10.7;-999; -16.6;-999;    9;    40.8;    9.7;eor
        917;19970101;19970131;   10;  6.80;  -3.17;   -0.30;   -6.33;    0.81;   5.3;-999; -17.3;-999;    9;    21.7;    8.3;eor
        917;19970201;19970228;   10;  6.15;   5.70;    9.04;    2.38;    1.91;  14.3;-999;  -7.3;-999;    9;    64.7;   10.9;eor
        917;19970301;19970331;   10;  5.35;   8.17;   13.43;    3.83;    1.34;  19.0;-999;  -2.5;-999;    9;    30.3;    5.6;eor
        917;19970401;19970430;   10;  4.52;   7.98;   14.21;    1.20;    1.22;  20.0;-999;  -4.8;-999;    9;    37.7;   11.7;eor
        917;19970501;19970531;   10;  4.71;  14.10;   20.25;    8.03;    1.10;  29.6;-999;   2.2;-999;    9;    61.3;   13.9;eor
        917;19970601;19970630;   10;  5.45;  16.59;   22.35;   11.63;    1.33;  30.1;-999;   5.0;-999;    9;    82.4;   12.3;eor
        917;19970701;19970731;   10;  5.25;  18.17;   24.23;   12.52;    0.98;  28.7;-999;   8.0;-999;    9;    59.7;   14.9;eor
        917;19970801;19970831;   10;  3.69;  20.43;   27.95;   14.46;    0.87;  33.2;-999;  10.9;-999;    9;    31.5;   10.1;eor
        917;19970901;19970930;   10;  3.44;  14.15;   22.23;    8.11;    0.79;  30.9;-999;   1.7;-999;    9;    21.7;   12.5;eor
        917;19971001;19971031;   10;  5.10;   8.22;   13.55;    4.10;    1.35;  24.2;-999;  -6.8;-999;    9;    61.2;   22.7;eor
        917;19971101;19971130;   10;  6.44;   5.11;    7.91;    2.34;    1.37;  13.3;-999;  -5.0;-999;    9;    61.6;   12.1;eor
        917;19971201;19971231;   10;  7.16;   3.62;    5.83;    1.25;    1.60;  14.6;-999;  -6.4;-999;    9;    65.4;    8.0;eor
        917;19980101;19980131;   10;  5.46;   3.16;    6.43;    0.45;    1.70;  12.2;-999; -11.5;-999;    9;    51.4;    9.2;eor
        917;19980201;19980228;   10;  4.86;   4.62;    9.74;   -0.54;    1.47;  18.1;-999; -15.0;-999;    9;    12.9;    6.3;eor
        917;19980301;19980331;   10;  5.73;   6.77;   11.48;    2.69;    1.74;  24.0;-999;  -6.0;-999;    9;    49.1;   15.0;eor
        917;19980401;19980430;   10;  6.29;   9.92;   15.05;    5.37;    1.68;  22.5;-999;  -1.4;-999;    9;    78.4;   11.3;eor
        917;19980501;19980531;   10;  4.46;  15.12;   21.41;    8.84;    1.29;  30.4;-999;   1.6;-999;    9;    75.5;   41.0;eor
        917;19980601;19980630;   10;  5.58;  18.06;   23.74;   12.35;    1.44;  32.7;-999;   5.6;-999;    9;    57.1;   16.4;eor
        917;19980701;19980731;   10;  5.95;  17.58;   22.82;   13.02;    1.57;  34.4;-999;   8.4;-999;    9;    61.7;    9.9;eor
        917;19980801;19980831;   10;  4.25;  17.95;   25.26;   11.20;    1.12;  36.5;-999;   5.5;-999;    9;    37.2;   21.7;eor
        917;19980901;19980930;   10;  6.23;  14.04;   18.60;   10.45;    1.79;  24.4;-999;   3.6;-999;    9;   143.9;   23.5;eor
        917;19981001;19981031;   10;  7.23;   9.99;   12.99;    7.42;    2.07;  18.8;-999;   3.0;-999;    9;   167.7;   41.5;eor
        917;19981101;19981130;   10;  6.78;   2.78;    5.34;    0.08;    1.53;  13.0;-999;  -8.9;-999;    9;    62.6;   11.5;eor
        917;19981201;19981231;   10;  7.06;   2.45;    4.60;   -0.08;    1.66;  13.2;-999;  -8.3;-999;    9;    37.7;    7.6;eor
        917;19990101;19990131;   10;  6.06;   3.70;    6.72;    0.77;    1.68;  16.0;-999;  -8.4;-999;    9;    60.6;    9.3;eor
        917;19990201;19990228;   10;  6.39;   1.91;    4.65;   -1.08;    2.07;  12.3;-999; -10.0;-999;    9;    57.6;   13.2;eor
        917;19990301;19990331;   10;  6.22;   6.68;   11.17;    2.98;    1.77;  19.6;-999;  -2.9;-999;    9;    98.0;   33.2;eor
        917;19990401;19990430;   10;  5.71;  10.51;   15.93;    5.15;    1.40;  22.7;-999;  -0.7;-999;    9;    53.6;   11.7;eor
        917;19990501;19990531;   10;  4.90;  15.25;   21.15;    9.45;    1.48;  30.5;-999;   2.2;-999;    9;    42.7;   16.5;eor
        917;19990601;19990630;   10;  5.16;  16.54;   22.66;   10.78;    1.39;  30.9;-999;   4.8;-999;    9;    81.0;   22.1;eor
        917;19990701;19990731;   10;  4.91;  20.29;   26.10;   14.49;    1.32;  33.2;-999;   8.1;-999;    9;    75.3;   27.3;eor
        917;19990801;19990831;   10;  4.95;  18.26;   24.56;   12.66;    1.20;  31.0;-999;   6.5;-999;    9;    64.2;   19.9;eor
        917;19990901;19990930;   10;  4.93;  17.49;   24.16;   12.36;    1.38;  30.9;-999;   6.7;-999;    9;    37.3;   14.6;eor
        917;19991001;19991031;   10;  4.93;   9.37;   14.22;    5.53;    1.21;  19.2;-999;  -3.0;-999;    9;    31.4;   11.4;eor
        917;19991101;19991130;   10;  6.39;   4.25;    7.11;    1.18;    1.24;  17.1;-999;  -5.5;-999;    9;    70.8;   16.1;eor
        917;19991201;19991231;   10;  7.09;   3.35;    5.49;    1.02;    1.93;  11.0;-999;  -9.4;-999;    9;   104.0;   19.5;eor
        917;20000101;20000131;   10;  6.06;   2.37;    4.67;   -0.45;    1.47;  11.0;-999; -11.7;-999;    9;    40.7;    7.0;eor
        917;20000201;20000229;   10;  6.07;   4.97;    8.88;    1.47;    1.90;  17.4;-999;  -4.6;-999;    9;    65.7;   11.1;eor
        917;20000301;20000331;   10;  6.25;   6.99;   10.99;    3.84;    1.86;  17.7;-999;  -1.2;-999;    9;    78.6;   16.0;eor
        917;20000401;20000430;   10;  5.38;  11.15;   16.87;    6.00;    1.60;  27.6;-999;  -1.6;-999;    9;    34.1;    7.8;eor
        917;20000501;20000531;   10;  5.27;  15.76;   22.11;   10.11;    1.51;  29.5;-999;   4.6;-999;    9;    80.1;   28.8;eor
        917;20000601;20000630;   10;  3.79;  18.50;   25.11;   11.36;    1.37;  34.2;-999;   3.7;-999;    9;    59.4;   24.5;eor
        917;20000701;20000731;   10;  6.18;  16.14;   21.35;   12.17;    1.42;  29.4;-999;   8.1;-999;    9;   177.9;   20.7;eor
        917;20000801;20000831;   10;  4.26;  18.49;   25.54;   13.06;    1.16;  31.2;-999;   9.3;-999;    9;    76.4;   20.7;eor
        917;20000901;20000930;   10;  5.47;  14.70;   19.79;   10.75;    1.28;  26.5;-999;   3.9;-999;    9;    96.3;   21.8;eor
        917;20001001;20001031;   10;  6.71;  10.83;   14.75;    7.47;    1.44;  20.7;-999;  -0.1;-999;    9;    62.6;    9.7;eor
        917;20001101;20001130;   10;  6.34;   7.51;   10.49;    4.49;    1.86;  15.5;-999;  -1.3;-999;    9;    64.1;   16.6;eor
        917;20001201;20001231;   10;  6.56;   4.40;    6.70;    1.96;    1.62;  14.2;-999;  -8.4;-999;    9;    55.1;    9.4;eor
        917;20010101;20010131;   10;  5.97;   2.22;    5.59;   -1.11;    1.76;  13.6;-999; -10.4;-999;    9;    72.2;   17.2;eor
        917;20010201;20010228;   10;  5.48;   4.37;    8.24;    0.85;    1.82;  16.5;-999;  -9.0;-999;    9;    78.8;   14.3;eor
        917;20010301;20010331;   10;  6.77;   6.67;   10.23;    3.75;    1.51;  16.0;-999;  -3.9;-999;    9;   127.2;   17.5;eor
        917;20010401;20010430;   10;  6.17;   8.51;   13.60;    3.79;    1.30;  23.0;-999;  -3.0;-999;    9;    64.9;    9.2;eor
        917;20010501;20010531;   10;  4.35;  16.26;   22.66;    9.90;    1.48;  28.0;-999;   4.4;-999;    9;    21.1;   16.0;eor
        917;20010601;20010630;   10;  5.26;  15.96;   21.56;   10.61;    1.14;  30.2;-999;   4.0;-999;    9;    59.5;    7.4;eor
        917;20010701;20010731;   10;  4.85;  19.98;   26.42;   13.75;    1.47;  34.1;-999;   9.5;-999;    9;    33.1;    6.6;eor
        917;20010801;20010831;   10;  4.29;  19.47;   26.21;   14.12;    1.57;  34.4;-999;   6.3;-999;    9;    49.7;   14.4;eor
        917;20010901;20010930;   10;  6.59;  12.50;   16.76;    9.09;    1.44;  23.5;-999;   1.8;-999;    9;   136.2;   32.2;eor
        917;20011001;20011031;   10;  5.36;  13.35;   18.39;    9.18;    1.21;  26.1;-999;   4.3;-999;    9;    59.4;   14.5;eor
        917;20011101;20011130;   10;  6.16;   4.03;    7.67;    1.05;    1.09;  14.5;-999;  -5.5;-999;    9;   101.0;   15.1;eor
        917;20011201;20011231;   10;  5.91;   0.93;    3.85;   -2.61;    1.86;  11.6;-999; -17.5;-999;    9;    50.2;   17.2;eor
        917;20020101;20020131;   10;  6.24;   1.35;    3.82;   -1.96;    2.08;  14.0;-999; -17.5;-999;    9;    22.8;    5.5;eor
        917;20020201;20020228;   10;  5.75;   6.50;   10.21;    3.20;    2.51;  18.6;-999;  -4.2;-999;    9;   128.6;   19.3;eor
        917;20020301;20020331;   10;  5.08;   6.66;   12.70;    1.88;    1.54;  19.5;-999;  -5.3;-999;    9;    66.6;   18.4;eor
        917;20020401;20020430;   10;  4.77;   9.67;   15.63;    4.36;    1.65;  21.9;  11.3;  -4.1;-999;    9;    55.6;    9.6;eor
        917;20020501;20020531;   10;  5.55;  14.30;   19.84;    9.16;    1.48;  28.6;   9.6;   2.5;-999;    9;   103.1;   25.0;eor
        917;20020601;20020630;   10;  5.18;  19.40;   25.14;   13.07;    1.51;  37.2;-999;   6.4;-999;    9;    20.4;   10.0;eor
        917;20020701;20020731;   10;  5.65;  18.51;   24.05;   13.85;    1.32;  32.0;-999;   7.7;-999;    9;    90.2;   42.1;eor
        917;20020801;20020831;   10;  5.85;  19.09;   25.29;   14.29;    1.01;  31.1;-999;  11.0;-999;    9;    52.4;   18.2;eor
        917;20020901;20020930;   10;  5.17;  13.07;   19.92;    7.75;    1.14;  26.6;-999;   1.4;-999;    9;    39.3;   10.2;eor
        917;20021001;20021031;   10;  6.55;  10.16;   14.33;    6.77;    1.85;  20.5;-999;  -1.6;-999;    9;   128.1;   27.7;eor
        917;20021101;20021130;   10;  6.93;   7.79;   10.65;    4.71;    1.48;  18.0;-999;  -1.9;-999;    9;   114.8;   30.4;eor
        917;20021201;20021231;   10;  6.50;   3.35;    6.04;    1.05;    1.60;  12.7;-999;  -8.6;-999;    9;    93.2;   22.5;eor
        917;20030101;20030131;   10;  6.12;   0.83;    3.71;   -2.20;    1.92;  12.6;-999; -14.8;-999;    9;    72.1;   18.9;eor
        917;20030201;20030228;   10;  3.80;  -0.12;    5.26;   -4.89;    1.64;  14.0;-999;  -9.9;-999;    9;     8.9;    3.5;eor
        917;20030301;20030331;   10;  4.80;   7.48;   14.30;    2.14;    1.46;  20.9;-999;  -4.8;-999;    9;    26.2;    9.5;eor
        917;20030401;20030430;   10;  4.22;   9.97;   16.76;    2.45;    1.76;  24.7;-999;  -7.6;-999;    9;    14.5;    4.0;eor
        917;20030501;20030531;   10;  5.81;  15.26;   21.20;    9.78;    1.63;  29.8;-999;   1.3;-999;    9;    85.5;   18.8;eor
        917;20030601;20030630;   10;  4.81;  21.17;   28.07;   14.01;    1.46;  33.6;-999;   6.2;-999;    9;    41.2;   18.2;eor
        917;20030701;20030731;   10;  4.51;  19.75;   26.57;   13.67;    1.42;  36.4;-999;   9.5;-999;    9;    72.5;   12.4;eor
        917;20030801;20030831;   10;  3.87;  21.85;   30.52;   13.94;    1.19;  38.1;-999;   7.5;-999;    9;    17.1;    7.4;eor
        917;20030901;20030930;   10;  3.76;  13.80;   22.11;    7.81;    1.31;  30.3;-999;   2.3;-999;    9;    37.6;   18.6;eor
        917;20031001;20031031;   10;  5.33;   6.82;   11.90;    2.95;    1.40;  22.8;-999;  -6.4;-999;    9;    72.9;   13.0;eor
        917;20031101;20031130;   10;  6.03;   6.69;   10.52;    3.30;    1.35;  15.0;-999;  -1.8;-999;    9;    51.5;   15.1;eor
